id type x y z 
1241 1 5.320160 11.755100 6.999380 
684 2 5.802080 9.368850 2.867800 
727 2 8.723750 8.895050 11.501000 
863 2 5.804670 11.233600 10.439300 
792 2 12.683300 12.232600 2.174030 
649 1 12.995900 7.501770 2.987510 
210 1 10.111500 0.322245 6.735350 
532 2 3.001460 2.944190 12.539200 
1466 1 12.726300 4.237740 6.452570 
448 2 4.851380 5.085080 6.469350 
541 1 9.412030 8.555770 4.259260 
1284 2 7.012010 1.967200 7.101700 
741 1 3.438530 11.668100 2.855240 
420 2 10.996300 3.826130 3.840670 
182 1 3.981000 8.244400 5.648900 
737 1 12.184000 12.658900 6.216090 
599 2 10.951100 3.731020 3.496320 
856 2 2.803760 6.321900 8.433170 
725 1 8.604190 9.544440 11.395300 
864 2 5.997940 11.605400 10.225700 
639 2 5.584050 7.736640 11.916400 
728 2 8.868540 8.820170 11.453300 
812 2 6.316890 8.689910 8.072060 
1158 1 4.586480 6.456090 1.385750 
254 1 1.044260 3.263910 7.907640 
1454 1 0.712671 7.185300 6.428200 
1978 1 0.004925 8.615650 10.481100 
740 2 12.527200 12.242600 5.874360 
7 2 5.120390 0.133263 11.360800 
519 2 2.926620 10.030100 10.655000 
591 2 1.363470 12.887100 5.386720 
810 1 6.466630 9.336120 7.860610 
1102 1 9.032930 10.327000 0.396240 
230 1 3.250320 8.393230 4.565040 
231 2 3.726990 8.340780 5.011900 
232 2 3.616640 8.366370 5.164970 
861 1 6.156960 11.832100 9.772890 
1208 2 11.435200 11.632800 10.497600 
1211 2 0.623799 3.565990 7.431010 
663 2 7.141420 3.443410 3.478770 
889 1 2.785150 2.682910 12.049300 
1250 1 12.815200 9.575870 7.980360 
611 2 12.658700 11.929300 2.335750 
321 1 5.699570 13.176700 4.050410 
1453 1 0.092424 8.366460 6.395420 
1965 1 0.892004 0.005532 4.628610 
664 2 7.143890 3.276080 3.610450 
1725 1 2.766420 5.968710 11.574100 
343 2 3.145700 1.185470 6.479160 
1415 2 11.953400 6.924220 5.721440 
1414 1 12.551200 6.530970 5.398050 
825 1 7.729930 11.967700 12.002900 
548 2 9.377860 10.597600 7.454080 
1727 2 2.165230 6.073150 11.505500 
1209 1 0.258908 3.818980 7.035830 
1413 1 11.778100 7.150490 6.088240 
212 2 10.994000 0.523058 6.452990 
1104 2 9.191450 9.665680 0.825194 
956 2 13.203600 4.925010 -0.068206 
1555 2 8.790270 11.624100 4.035590 
1120 2 1.636280 0.589757 9.640360 
1858 1 8.815240 5.153450 7.515740 
497 1 7.190060 12.553400 1.400460 
681 1 5.474350 10.161000 3.160190 
600 2 10.916600 3.962040 3.388120 
854 1 3.524620 6.429300 8.503140 
1680 2 8.677770 1.828710 9.909880 
545 1 9.717850 10.738800 6.701200 
531 2 3.063710 2.837840 12.826500 
916 2 6.649990 6.829410 4.951530 
1677 1 9.080980 1.295680 9.744680 
418 1 10.215700 3.654800 3.460910 
256 2 3.232850 2.672300 9.348440 
1325 1 11.590800 7.513120 9.097380 
499 2 7.017240 13.187400 1.329680 
547 2 9.458130 10.682500 7.516590 
500 2 6.906720 13.223200 1.339810 
446 1 4.878970 5.977270 6.050210 
1556 2 8.873140 11.572900 3.983140 
392 2 10.783100 0.455112 6.456840 
109 1 10.035700 5.006000 7.946400 
255 2 3.027560 2.810610 9.625490 
253 1 3.078280 2.249400 8.860070 
1264 2 3.230720 2.886450 3.329720 
61 1 4.776160 0.082940 12.193500 
914 1 6.916870 7.408410 5.252250 
871 2 9.501440 3.831570 -0.045084 
1678 1 9.485100 3.598110 7.645790 
