id type x y z 
469 1 7.396870 4.111580 8.253780 
99 2 9.595170 1.968970 6.961230 
946 1 9.339280 1.961190 9.892710 
823 2 7.225480 4.962960 11.024800 
480 2 12.870000 9.641270 5.649680 
1644 2 7.468750 12.477900 7.059820 
788 2 12.917300 1.908490 11.537600 
1768 2 2.300420 4.889900 0.317097 
942 1 5.009770 1.961170 7.965620 
167 2 2.127030 4.870420 11.538800 
1224 2 6.849290 5.744520 11.875900 
277 1 7.793380 12.629100 5.840050 
317 1 1.383740 0.559242 11.734100 
744 2 1.702400 1.198450 4.585290 
621 1 7.134390 12.277200 13.134100 
1583 2 7.164990 0.793677 6.615030 
270 1 5.825620 7.075570 6.892220 
1064 2 3.471380 2.405210 9.469830 
1529 1 1.964850 12.242000 7.201100 
393 1 6.722270 1.451230 0.311160 
1860 2 4.671060 8.831630 12.609300 
1834 1 1.905340 12.780200 11.238200 
1615 2 10.313200 8.568300 5.713570 
1954 1 4.385560 8.578560 3.225280 
600 2 10.010900 6.164560 10.872900 
1970 1 0.372452 12.021500 11.779600 
1001 1 3.620470 2.933240 8.476410 
402 1 2.014060 2.678880 9.344220 
1122 1 4.949240 8.028150 0.782086 
1711 2 10.209200 4.386650 1.968790 
1379 2 11.865500 10.791600 12.748300 
261 1 4.157410 1.277410 2.550700 
1411 2 8.366310 8.673600 11.932100 
297 1 10.744900 7.521720 8.224150 
1759 2 8.386910 7.984610 1.008780 
145 1 5.071910 4.489360 12.940500 
571 2 12.395700 8.685520 0.250194 
1716 2 10.220900 3.229730 1.275500 
572 2 8.404850 6.143810 0.785063 
985 1 12.809800 11.261100 11.200100 
1552 2 10.612500 2.294790 4.084920 
638 1 8.331100 3.279440 0.361735 
520 2 3.866560 8.229030 2.914590 
1836 2 1.376820 9.689900 11.085100 
259 2 9.581330 0.983251 1.395860 
1614 1 6.964080 3.003190 3.156230 
476 2 12.979300 10.127700 0.356761 
1225 1 9.752030 7.356950 1.203200 
709 1 1.307690 5.006190 -0.115218 
8 2 12.658800 2.583570 10.981000 
977 1 7.111200 7.808080 4.403470 
1937 1 12.796500 6.220740 5.059040 
1915 2 1.562860 11.274700 0.609016 
1832 2 6.624770 11.056900 1.812380 
1214 1 10.278100 3.080660 1.415720 
1435 2 4.610040 8.588560 11.276600 
747 2 4.402920 0.667902 1.589060 
1605 1 2.945780 1.466130 6.173060 
1691 2 0.750753 1.871230 11.523500 
1482 1 4.174360 10.575500 7.914170 
574 1 6.343240 4.674270 0.368998 
1601 1 8.250840 8.267030 12.974100 
241 1 11.794500 6.299180 6.851840 
589 1 2.221830 4.001710 2.335290 
1696 2 0.239585 13.190200 2.352420 
380 2 6.588260 2.483950 8.361440 
968 2 12.651900 7.178760 5.937310 
204 2 5.715700 5.517600 4.537400 
761 1 8.390520 2.094480 7.641590 
922 1 9.741110 6.835930 6.316450 
1436 2 4.801350 0.591295 6.696760 
455 2 12.677500 3.861670 10.473700 
183 2 1.394520 8.856830 3.532570 
303 2 9.611880 11.951300 9.967020 
890 1 12.882400 12.412700 8.735090 
1807 2 3.365340 8.928500 1.480700 
1438 1 9.683650 5.396250 10.655700 
1244 2 6.052920 8.130440 6.619890 
1336 2 3.068430 7.674680 4.332850 
419 2 7.613180 0.501134 1.739780 
90 1 4.997960 11.695300 1.960190 
1868 2 6.655840 13.061600 9.585490 
340 2 0.525995 1.882810 1.207150 
1635 2 10.284000 7.008150 2.920190 
271 2 11.960800 11.796500 6.700960 
1480 2 9.866740 6.394620 6.239700 
663 2 5.004860 11.243500 1.407340 
715 2 6.607980 8.765460 4.226110 
1375 2 1.692060 5.625250 5.280330 
1017 1 0.021364 3.727950 6.633370 
769 1 1.558510 11.937300 8.717260 
1624 2 10.500900 9.806950 9.075290 
216 2 8.993290 7.320850 5.324290 
496 2 0.286139 3.829920 7.816660 
1869 1 10.467400 8.376360 4.214010 
786 1 8.093270 0.694888 5.928920 
1784 2 3.783400 0.521482 6.898830 
56 2 9.657040 1.652380 9.340560 
614 1 4.872440 1.501950 10.991800 
482 1 11.941100 11.779400 9.500440 
1335 2 5.703490 2.871250 7.636040 
1479 2 9.351540 12.981700 2.403850 
371 2 6.904160 10.924800 11.290500 
1646 1 11.358300 5.701810 2.831440 
346 1 10.010900 13.095000 0.695581 
1721 1 0.489981 3.175050 10.339600 
726 1 9.356330 12.396400 11.002600 
98 1 13.035100 9.260240 7.497600 
1397 1 6.387580 6.598460 2.850000 
1649 1 4.012660 2.140170 12.066300 
1322 1 1.084500 5.813610 5.761150 
1645 1 1.801060 3.784150 8.311190 
54 1 12.518800 0.196676 2.882740 
1597 1 2.645250 4.889840 0.454032 
107 2 3.368950 9.542040 7.697010 
15 2 7.831370 5.321560 0.114595 
149 1 1.720010 7.969510 1.565660 
1373 1 2.393670 0.378842 7.536630 
298 1 8.759850 3.256980 10.480000 
558 1 0.437112 9.581320 5.588610 
1259 2 1.211770 5.216540 6.768140 
773 1 6.822000 13.297600 2.301610 
1847 2 0.233965 4.428550 7.354140 
1516 2 7.238810 12.410400 7.405360 
1004 2 6.229420 2.789420 3.643310 
1573 1 7.001060 10.185000 11.829000 
304 2 11.076900 4.114670 6.868980 
779 2 4.481860 6.619270 7.745250 
888 2 7.648730 0.869153 5.564890 
1958 1 7.740320 11.247000 6.842580 
760 2 7.866340 2.886800 0.978364 
159 2 7.441710 5.247780 10.359800 
389 1 10.203100 11.372600 0.519139 
516 2 11.033600 12.351800 1.856200 
1851 2 8.256570 10.836900 11.402900 
1061 1 9.350100 4.344180 4.102820 
1454 1 6.462490 11.108600 10.039800 
230 1 9.071780 0.480455 3.865540 
116 2 7.890490 2.463810 9.529580 
1221 1 1.375150 4.798040 4.382920 
454 1 2.036800 8.090600 11.677200 
1166 1 0.839293 1.273040 3.911730 
1210 1 9.210190 7.806500 5.892990 
34 1 12.183100 4.572910 10.159600 
188 2 5.323740 12.768400 3.748430 
1103 2 0.655813 2.913390 0.539502 
1086 1 9.634050 4.548100 5.844710 
1077 1 7.392060 6.129340 0.598841 
1133 1 3.012130 6.232860 6.098720 
1446 1 8.008540 11.157600 0.893476 
1405 1 2.171910 9.969690 11.198500 
1049 1 10.938400 10.845100 4.917860 
1124 2 10.115400 8.991950 11.757800 
1504 2 10.158900 8.750300 2.476200 
1659 2 8.387160 4.468900 4.738300 
545 1 10.301700 8.086120 12.880400 
1650 1 5.214960 7.842900 11.638100 
1902 1 10.397100 0.084755 9.133740 
173 1 1.357250 6.262530 8.512620 
1093 1 7.391650 5.242050 10.582000 
711 2 9.819940 3.571570 8.311170 
1080 2 4.520070 11.080500 7.264240 
491 2 6.560880 1.568680 12.330900 
1469 1 4.046840 2.389640 5.021080 
1165 1 7.589530 8.808050 3.356740 
782 1 10.869000 7.312800 2.466460 
1334 1 6.011020 4.785340 4.507680 
1395 2 10.561500 0.124120 7.666650 
1589 1 7.180110 1.275070 11.116700 
1854 1 7.032370 2.344370 6.206760 
292 2 0.741455 8.354970 3.384220 
231 2 2.061750 8.421400 2.329590 
801 1 6.370700 1.857980 3.966990 
1678 1 11.525500 1.595770 3.158440 
643 2 3.284590 0.306937 3.560560 
195 2 5.862760 3.026400 5.193400 
997 1 2.872050 8.281760 2.508050 
48 2 3.394260 5.022440 5.770840 
1631 2 2.608740 4.061480 2.045040 
365 1 9.247700 8.657840 10.584800 
1930 1 4.480650 11.757300 3.613580 
448 2 0.245621 12.063200 8.178930 
63 2 1.238220 0.681959 7.713800 
150 1 5.107340 4.136430 8.096550 
881 1 2.518710 11.501600 0.170817 
1953 1 7.919190 9.535500 6.226880 
1882 1 0.240504 0.897487 12.156400 
1640 2 5.353590 8.645350 10.169700 
787 2 6.185630 7.287660 4.058830 
1003 2 6.439380 13.039300 1.907970 
1154 1 12.309200 9.118480 0.902216 
940 2 2.414720 7.651210 12.021200 
186 1 10.386400 2.672700 7.931510 
1702 1 10.199700 4.259640 1.227960 
1905 1 12.288600 3.216530 5.254070 
864 2 2.469510 12.702600 7.606790 
1018 1 12.299300 2.324300 10.997900 
1167 2 9.621820 6.823030 8.725740 
680 2 1.791730 4.000850 8.765220 
144 2 7.288510 7.436300 3.258030 
672 2 13.117600 3.014440 6.549080 
534 1 5.465800 8.665650 10.281700 
305 1 4.545070 8.274630 7.859600 
147 2 11.438000 2.031640 3.382880 
1163 2 12.417600 7.095710 9.285170 
1084 2 9.322720 12.231800 9.828830 
1890 1 5.861790 10.929400 12.434900 
1067 2 8.912470 2.046850 3.717890 
1694 1 3.429590 5.228290 4.511730 
1465 1 8.271320 12.405900 8.896970 
43 2 2.461270 2.991780 4.887850 
1082 1 7.219490 12.044200 11.118400 
1812 2 2.458070 12.937900 11.664100 
1762 1 3.884290 1.674360 0.833278 
818 1 6.747280 11.134800 4.161050 
1887 2 9.000210 0.139423 3.690980 
1896 2 5.915980 5.226380 7.379920 
661 1 7.846020 5.322150 4.268410 
1801 1 0.186439 2.666250 1.622900 
704 2 7.060100 10.852800 11.747600 
1333 1 8.685750 0.954354 0.874661 
1746 1 11.383300 2.610540 4.691610 
197 1 6.540270 7.550470 9.129150 
1426 1 2.406360 4.889970 12.236400 
1235 2 8.407690 11.635800 5.689970 
1938 1 10.495600 13.276200 3.753560 
370 1 2.675850 6.977630 4.114390 
687 2 12.182400 10.492100 0.867421 
1076 2 9.314790 8.893160 5.818900 
1307 2 4.087090 1.380040 11.055800 
1008 2 2.661910 5.541820 11.595200 
