id type x y z 
165 1 1.297820 0.205866 9.132180 
1658 1 13.183300 0.591644 0.424465 
867 2 4.117710 5.695100 5.811290 
1833 1 3.760510 10.239400 1.633800 
1918 1 10.378000 6.530340 12.961600 
490 1 6.561380 5.813850 0.952312 
22 1 5.496130 3.054100 5.882410 
1234 1 11.680500 3.031180 7.533230 
1072 2 13.132600 3.468500 3.598060 
667 2 9.452660 7.949470 9.813490 
1908 2 4.096670 6.833010 0.774083 
1919 2 10.441000 7.638280 12.634100 
1236 2 12.016700 3.038590 7.576880 
668 2 9.452650 7.949470 9.813490 
1137 1 6.901270 4.714090 5.678230 
1890 1 7.044580 4.501540 11.074200 
1834 1 3.823570 9.081820 1.725170 
981 1 7.481940 10.386600 12.408800 
1013 1 11.671700 3.735800 4.966600 
1935 2 10.435000 6.747800 2.303610 
631 2 7.533010 11.696000 2.629840 
1920 2 10.441000 7.638280 12.634100 
383 2 9.016970 12.128100 10.002100 
1079 2 0.580380 6.995530 8.678340 
15 2 11.652400 11.561900 0.633004 
526 1 12.423700 9.695570 9.825560 
102 1 7.265690 11.669300 2.218740 
46 1 0.523531 6.593870 0.431124 
863 2 13.039700 12.652100 3.424750 
949 1 9.650770 2.914620 0.997398 
876 2 5.262790 10.331100 4.458090 
7 2 1.848240 0.141421 12.795700 
794 1 5.430650 10.628100 4.735040 
868 2 4.117710 5.695100 5.811290 
1144 2 5.038810 1.363600 -0.038808 
1782 1 10.139500 2.236240 11.052500 
1333 1 5.813630 5.411040 9.264650 
242 1 2.991940 2.733670 8.561170 
1225 1 3.517840 3.981690 2.695950 
8 2 1.848250 0.141420 12.795700 
527 2 12.308500 10.163800 9.709250 
640 2 0.917493 2.970830 6.313860 
639 2 0.917494 2.970830 6.313860 
619 2 1.884320 10.206800 6.178130 
632 2 7.533010 11.696000 2.629830 
1936 2 10.435000 6.747800 2.303610 
864 2 13.039700 12.652100 3.424750 
646 1 3.610690 11.285600 9.111410 
381 1 9.835540 12.413100 9.842290 
1449 1 4.456120 3.134380 11.869800 
1302 1 7.427090 8.367390 5.802970 
1336 2 6.183940 6.002270 9.123380 
1717 1 13.496100 5.579010 6.861480 
384 2 9.016960 12.128100 10.002100 
665 1 8.531380 11.366200 5.623450 
1016 2 9.167180 3.492620 0.648812 
1386 1 5.334880 1.509590 7.514300 
1385 1 4.846530 0.090003 7.218600 
282 1 6.730660 5.670860 2.591940 
62 1 4.483770 6.301500 11.050700 
1836 2 3.904140 9.596860 1.729590 
779 2 1.219920 0.875243 9.367430 
1109 1 9.358190 12.704700 1.568310 
61 1 3.946770 6.668480 12.335200 
638 1 4.833340 9.734090 3.152580 
1057 1 9.561300 7.199560 9.877560 
1933 1 9.798750 6.834780 2.152340 
670 1 6.012860 11.179900 7.989080 
1558 1 7.593820 7.633670 3.103820 
1796 2 7.370410 4.849990 11.591600 
