id type x y z 
1002 1 11.077600 0.927637 4.049330 
1254 1 12.025000 2.397000 5.255000 
261 1 0.781538 12.245500 12.950400 
1059 2 13.348700 10.868500 11.652200 
995 2 6.113490 4.326670 6.497850 
1258 1 6.243370 10.818900 3.422220 
715 2 4.841020 4.765460 10.179900 
693 1 11.277600 8.105400 12.557000 
996 2 6.113490 4.326670 6.497850 
474 1 4.223630 10.876800 9.908120 
1909 1 1.716770 4.950770 0.215060 
133 1 1.746100 12.697400 3.143460 
1418 1 6.127110 1.862700 11.742600 
135 2 1.135100 12.945100 2.886640 
507 2 7.109850 12.737000 11.363800 
454 1 8.964880 11.229100 5.347570 
1874 1 0.607505 7.688930 9.855750 
981 1 4.014250 2.243680 8.635620 
57 1 5.020060 6.157700 1.112130 
223 2 2.762390 2.316090 0.845782 
1910 1 2.270680 6.120640 0.164923 
634 1 8.676920 2.933120 8.688190 
993 1 6.747140 4.966330 6.042530 
728 2 8.273000 10.765100 0.252925 
826 1 9.943440 3.649800 0.501185 
1883 2 2.267030 10.779000 5.054120 
532 2 4.328650 11.284500 0.196792 
1882 1 2.649360 10.991200 4.424230 
486 1 0.060841 12.701900 6.702800 
1467 2 1.931260 8.188360 2.959800 
456 2 9.238170 10.514200 5.365810 
222 1 2.914130 2.752300 1.073690 
214 1 6.868610 7.153060 5.778860 
290 1 8.788590 9.026080 1.709880 
747 2 7.324840 9.387710 11.676400 
1124 2 7.559640 10.582800 8.066100 
424 2 6.294550 5.300400 12.792400 
855 2 12.139900 10.977800 7.309360 
1259 2 6.386970 10.928000 3.664850 
1881 1 1.678350 10.711300 5.717750 
78 1 0.752883 3.831050 6.768290 
1222 1 0.675599 4.168460 11.453300 
1004 2 10.600600 1.381630 3.726370 
853 1 12.345900 11.778600 7.130660 
878 1 6.713810 4.046300 1.920170 
1167 2 7.643010 1.574410 4.593650 
1336 2 10.255700 9.787960 10.174700 
868 2 4.601380 12.503300 6.695170 
65 1 0.250115 6.180640 5.244770 
678 1 9.777290 6.524690 0.569830 
44 2 2.618990 1.661000 12.620500 
1417 1 7.150860 2.747000 11.623500 
1912 2 1.964880 5.629950 0.272179 
213 1 8.052710 7.576160 5.077090 
716 2 4.841020 4.765460 10.179900 
45 1 5.134690 -0.039259 3.503750 
893 1 9.950350 12.911300 1.798830 
269 1 10.887200 10.234700 2.984970 
833 1 9.637090 5.812030 12.372000 
702 1 10.730900 12.757000 5.065420 
1253 1 12.137200 2.835760 6.364100 
1060 2 13.348700 10.868500 11.652200 
1255 2 12.175400 2.466810 6.090520 
880 2 6.659400 3.621050 2.403820 
827 2 9.727900 3.102780 1.013620 
1794 1 12.119100 3.874840 2.212500 
1911 2 1.964880 5.629950 0.272179 
1404 2 13.025700 5.554110 7.345070 
274 1 6.802850 6.584430 9.189050 
854 1 12.039600 10.588400 7.477510 
1606 1 12.444200 1.519010 12.826000 
60 2 5.007160 5.606490 0.421894 
1260 2 6.386970 10.928000 3.664850 
1221 1 1.305530 4.818600 10.724000 
500 2 1.726060 10.920200 8.282020 
455 2 9.238170 10.514200 5.365810 
713 1 5.068290 4.905160 9.745100 
865 1 3.942260 12.832800 6.284400 
1201 1 10.006200 4.400020 4.737710 
1884 2 2.267030 10.779000 5.054120 
748 2 7.324840 9.387710 11.676400 
879 2 6.659400 3.621050 2.403820 
41 1 1.868300 2.184480 13.172700 
1123 2 7.559640 10.582800 8.066100 
1466 1 1.170470 8.699350 3.121630 
1871 2 0.004899 2.593100 3.348450 
883 2 8.537950 1.096510 7.668980 
291 2 8.656200 8.312660 2.212340 
1607 2 12.945200 1.196490 12.468800 
265 1 4.340690 1.148200 5.786920 
266 1 3.696610 2.280380 5.698520 
267 2 3.879540 1.809360 5.593620 
268 2 3.879540 1.809360 5.593620 
1224 2 1.095600 4.492270 11.158700 
746 1 7.802450 9.791530 11.317600 
476 2 5.156290 10.643700 9.712550 
303 2 3.451490 4.891480 3.645410 
1256 2 12.175400 2.466810 6.090520 
1403 2 13.025700 5.554110 7.345070 
1608 2 12.945200 1.196490 12.468800 
1093 1 12.308000 6.172150 2.279240 
48 2 5.391590 0.256011 2.908090 
1094 1 11.888800 7.599960 1.777090 
508 2 7.109850 12.737000 11.363800 
270 1 11.048800 10.861500 1.887840 
1334 1 10.381000 9.826110 10.690600 
727 2 8.273000 10.765100 0.252925 
81 1 2.979960 8.059190 5.843830 
1532 2 8.101520 13.107800 5.697500 
835 2 9.300950 5.808530 11.963200 
273 1 6.876800 7.810750 10.035800 
1335 2 10.255700 9.787960 10.174700 
42 1 2.763180 1.601730 12.166000 
43 2 2.618990 1.661000 12.620500 
275 2 6.881000 7.213140 9.435800 
514 1 5.829260 9.521540 6.713850 
1016 2 12.748700 2.921160 9.555020 
513 1 4.852190 8.550700 6.408930 
516 2 5.427710 9.056650 6.558640 
882 1 8.909800 0.713368 7.910610 
876 2 10.956600 7.531490 4.840510 
47 2 5.391590 0.256011 2.908090 
875 2 10.956600 7.531490 4.840510 
874 1 11.043700 7.968380 5.593860 
264 2 1.164000 12.587400 13.101800 
873 1 10.785400 7.044980 4.243610 
856 2 12.139900 10.977800 7.309360 
304 2 3.451490 4.891480 3.645410 
1869 1 0.353450 2.972150 2.474970 
530 1 4.680970 11.787800 0.377842 
221 1 2.709450 1.542890 0.610904 
994 1 5.801950 4.122050 6.853520 
63 2 3.575220 7.595050 9.421550 
84 2 2.723910 7.735380 6.015640 
825 1 9.412120 2.419330 1.478250 
134 1 0.750710 13.389800 2.558920 
982 1 5.000120 2.272450 9.106090 
515 2 5.427710 9.056650 6.558640 
54 1 2.128190 1.288280 8.078000 
1001 1 10.166200 1.831640 3.575320 
505 1 7.349090 13.232900 10.529100 
638 1 13.376000 5.971810 11.028300 
79 2 1.424770 4.360000 6.809830 
423 2 6.294550 5.300400 12.792400 
