id type x y z 
1047 2 9.314410 13.196100 1.145770 
1874 1 0.801870 9.092760 9.720110 
1881 1 6.970610 10.809000 7.208740 
485 1 1.973760 12.355300 7.899240 
995 2 6.017380 5.640850 4.929630 
546 1 5.907560 13.296800 12.984500 
715 2 7.377810 8.032290 10.566600 
1048 2 9.314410 13.196100 1.145770 
996 2 6.017380 5.640850 4.929630 
486 1 1.408350 13.249300 9.043000 
1445 1 12.624200 9.365540 2.806370 
727 2 12.680100 12.489500 1.643930 
1418 1 6.123470 2.957630 9.628650 
680 2 8.157970 4.485400 2.833820 
507 2 11.077900 12.332900 13.128900 
454 1 9.191420 12.936600 3.895090 
1921 1 1.149210 10.646000 0.636089 
981 1 4.747350 5.784870 7.229720 
237 1 0.472851 3.881250 10.482300 
937 1 11.015600 12.991500 10.225800 
1607 2 8.950520 3.130610 10.248600 
634 1 5.225100 2.207890 7.551230 
993 1 6.310900 5.913080 4.188790 
853 1 11.939700 11.750200 6.409210 
789 1 10.045200 1.563180 12.921500 
1883 2 6.557890 11.701400 6.793000 
532 2 3.123230 8.368950 1.453980 
1882 1 6.375260 12.163600 6.787590 
882 1 7.593760 1.011370 2.415490 
1467 2 1.707440 9.169630 6.237550 
456 2 9.569340 12.425900 4.156150 
1693 1 1.897310 10.396900 13.254000 
214 1 5.909290 12.528800 2.361040 
290 1 8.198330 9.775540 0.742546 
747 2 9.501920 9.394770 12.594500 
1124 2 9.399290 9.971870 7.485700 
940 2 10.529600 12.471300 9.543750 
855 2 12.507700 11.223100 6.873840 
664 2 13.380700 6.770470 12.758400 
522 1 7.044240 12.084900 10.213600 
78 1 1.703380 5.813490 7.957400 
1222 1 4.704400 6.814020 11.707900 
1922 1 1.810730 11.611000 1.311340 
1448 2 12.822200 9.679760 3.612430 
878 1 4.216390 2.277880 2.628450 
469 1 -0.316220 2.452480 5.117550 
1336 2 11.565000 9.102310 9.508550 
488 2 1.795730 12.697000 8.539800 
1605 1 9.100920 3.934470 10.455600 
679 2 8.157970 4.485400 2.833820 
44 2 2.992870 3.704590 8.381090 
1417 1 5.337090 3.707210 10.049200 
1046 1 9.667360 12.541000 1.741660 
213 1 5.967610 13.056600 3.558080 
716 2 7.377810 8.032290 10.566600 
1876 2 1.191060 9.531660 9.815450 
1861 1 5.998060 7.500650 1.664170 
883 2 7.271170 0.828872 1.937650 
833 1 10.497800 5.502630 11.342500 
1412 2 11.306400 0.931277 9.984550 
1073 1 5.991620 9.738270 12.823800 
656 2 11.102600 3.469390 7.516160 
1255 2 10.689700 1.401470 3.413500 
880 2 4.604040 2.309460 3.346160 
746 1 9.836480 9.706460 12.318500 
1923 2 1.520180 11.211000 1.123600 
447 2 6.470750 2.005690 12.908100 
1862 1 5.382850 6.259880 2.227800 
274 1 8.031090 5.506870 8.166570 
445 1 6.554520 1.267310 12.944800 
1606 1 9.147980 2.633230 9.896480 
505 1 10.664500 12.246800 12.396300 
238 1 0.659299 3.481730 11.702700 
1221 1 4.065010 7.303570 10.637800 
884 2 7.271170 0.828872 1.937650 
455 2 9.569340 12.425900 4.156150 
713 1 7.194170 8.170310 10.932900 
1869 1 2.125790 4.042990 2.204010 
1201 1 7.404420 2.868680 5.487460 
1884 2 6.557890 11.701400 6.793000 
748 2 9.501920 9.394770 12.594500 
879 2 4.604040 2.309460 3.346160 
41 1 3.216480 4.074430 9.150960 
1123 2 9.399290 9.971870 7.485700 
1466 1 1.700850 9.540140 5.661500 
1254 1 11.411300 1.216700 3.294580 
1870 1 2.316860 5.369610 2.827990 
291 2 7.126980 9.473700 0.876140 
1410 1 11.510800 1.031990 9.013620 
265 1 2.640490 0.981945 1.151100 
442 1 8.072450 0.634001 9.408880 
267 2 2.115720 0.951509 0.704733 
268 2 2.115720 0.951509 0.704733 
1224 2 4.234270 7.237490 11.028900 
854 1 13.035500 10.921700 7.254100 
529 1 3.442480 7.725240 1.378590 
303 2 2.924300 6.832490 5.147640 
1256 2 10.689700 1.401470 3.413500 
725 1 13.117300 11.869300 2.014490 
518 1 0.441729 11.991600 3.665170 
1093 1 11.458000 6.624650 1.707610 
524 2 7.432330 12.185500 10.607800 
1094 1 10.248300 7.046620 1.925530 
508 2 11.077900 12.332900 13.128900 
663 2 13.380700 6.770470 12.758400 
938 1 10.384200 12.239600 8.910110 
1873 1 1.766570 10.088700 9.922470 
81 1 4.581900 8.451440 8.507840 
1608 2 8.950520 3.130610 10.248600 
835 2 10.292500 5.917060 11.242900 
273 1 9.421430 5.969440 7.695180 
1335 2 11.565000 9.102310 9.508550 
42 1 2.775380 3.758380 7.827730 
43 2 2.992870 3.704590 8.381090 
275 2 8.385000 6.052610 8.035430 
514 1 3.653490 11.004100 10.488200 
1016 2 8.966740 0.189074 6.785590 
513 1 4.373550 11.632100 9.415210 
516 2 4.090530 11.499200 9.764810 
1446 1 12.637300 9.786950 4.078180 
876 2 8.499100 9.158550 4.325930 
1401 1 12.916900 4.136070 3.834280 
875 2 8.499100 9.158550 4.325930 
874 1 8.208430 8.745620 4.970380 
728 2 12.680100 12.489500 1.643930 
873 1 8.509950 9.597510 3.999560 
856 2 12.507700 11.223100 6.873840 
304 2 2.924300 6.832490 5.147640 
1864 2 5.747570 7.026380 2.024820 
677 1 8.388940 4.999700 2.099860 
795 2 4.265040 0.174142 11.649900 
994 1 6.000610 5.200430 5.430960 
640 2 11.981000 7.878350 6.515960 
84 2 5.143470 8.960870 8.338670 
450 1 3.226630 3.795020 12.765700 
1863 2 5.747570 7.026380 2.024820 
982 1 5.685410 5.545120 7.743350 
515 2 4.090530 11.499200 9.764810 
54 1 2.210840 3.793130 5.092480 
211 2 2.706330 0.445878 5.324860 
1871 2 2.174220 4.538310 2.466070 
1447 2 12.822200 9.679760 3.612430 
79 2 1.251590 6.468480 8.260150 
881 1 6.877240 0.834486 1.303860 
276 2 8.385000 6.052610 8.035430 
1404 2 12.420200 4.155290 4.501640 
493 1 4.617300 10.729000 4.851730 
794 1 4.732580 0.665074 11.780800 
1013 1 8.880510 0.739608 6.449370 
448 2 6.470750 2.005690 12.908100 
1015 2 8.966740 0.189074 6.785590 
984 2 5.240940 5.699640 7.559640 
678 1 7.960140 3.808230 3.157880 
726 1 12.327600 12.905800 1.684150 
477 1 9.846840 5.364520 4.365150 
478 1 9.605600 6.705290 5.300820 
479 2 9.670300 6.401640 5.124130 
480 2 9.670300 6.401640 5.124130 
446 1 6.107790 2.494600 12.676700 
449 1 3.018750 5.087130 13.125100 
1095 2 10.991100 6.958840 1.872390 
82 1 5.389780 9.211650 8.084150 
834 1 10.162700 6.871350 11.209400 
836 2 10.292500 5.917060 11.242900 
939 2 10.529600 12.471300 9.543750 
201 1 0.567958 2.021020 9.193700 
421 1 6.167140 5.515860 12.788700 
1334 1 11.642000 9.729140 9.359770 
1419 2 5.669050 3.445490 9.906560 
1872 2 2.174220 4.538310 2.466070 
1465 1 1.469330 8.677910 6.918420 
1557 1 12.360900 0.626874 6.064620 
1223 2 4.234270 7.237490 11.028900 
1096 2 10.991100 6.958840 1.872390 
1333 1 12.052200 8.288090 9.446130 
519 2 1.151470 12.163900 4.223830 
1121 1 9.781630 10.573100 7.350060 
83 2 5.143470 8.960870 8.338670 
301 1 3.214660 6.408100 5.488000 
212 2 2.706330 0.445878 5.324860 
292 2 7.126980 9.473700 0.876140 
451 2 3.037120 4.623820 12.843200 
520 2 1.151470 12.163900 4.223830 
714 1 7.651810 7.851660 9.905770 
204 2 0.266078 1.609350 8.813860 
1796 2 13.144300 3.936820 1.389270 
209 1 2.331820 1.344330 5.350800 
203 2 0.266078 1.609350 8.813860 
494 1 5.189440 9.430210 4.127020 
1122 1 9.159190 9.543260 8.039090 
637 1 11.377900 8.089200 6.728280 
877 1 4.853830 2.081870 3.684640 
1202 1 8.406420 3.381280 6.285960 
1559 2 12.675900 1.217510 6.155160 
302 1 2.678190 7.261540 4.935470 
239 2 0.556042 3.574030 11.000900 
633 1 5.018960 1.581540 6.635940 
531 2 3.123230 8.368950 1.453980 
635 2 5.047510 1.994460 7.142140 
636 2 5.047510 1.994460 7.142140 
289 1 6.678210 9.781070 1.559810 
530 1 2.995030 9.010770 1.419590 
1794 1 12.305100 3.994290 1.390750 
453 1 9.742790 11.563700 4.421740 
638 1 12.459700 7.566800 6.701360 
216 2 5.968110 12.783700 2.793170 
1468 2 1.707440 9.169630 6.237550 
653 1 10.399000 3.469660 7.909550 
517 1 1.899060 12.319500 4.647390 
745 1 8.877820 8.974420 13.039000 
496 2 4.886250 10.121600 4.462470 
1558 1 12.911700 2.025400 6.098860 
495 2 4.886250 10.121600 4.462470 
487 2 1.795730 12.697000 8.539800 
53 1 2.384080 3.296890 6.011710 
215 2 5.968110 12.783700 2.793170 
1203 2 7.986670 3.205170 6.079060 
655 2 11.102600 3.469390 7.516160 
1253 1 10.110600 1.196090 3.831350 
1670 1 0.778904 1.309300 13.000800 
240 2 0.556042 3.574030 11.000900 
1204 2 7.986670 3.205170 6.079060 
80 2 1.251590 6.468480 8.260150 
523 2 7.432330 12.185500 10.607800 
77 1 0.883892 6.928060 8.595670 
1875 2 1.191060 9.531660 9.815450 
1924 2 1.520180 11.211000 1.123600 
1420 2 5.669050 3.445490 9.906560 
1246 1 13.361100 10.319600 12.167400 
452 2 3.037120 4.623820 12.843200 
983 2 5.240940 5.699640 7.559640 
1402 1 12.020300 4.157260 4.744360 
654 1 11.757900 3.473940 7.386050 
1409 1 11.367500 0.741887 10.516400 
1795 2 13.144300 3.936820 1.389270 
55 2 2.346650 3.665920 5.480570 
56 2 2.346650 3.665920 5.480570 
1403 2 12.420200 4.155290 4.501640 
521 1 8.147380 12.437900 10.634100 
1560 2 12.675900 1.217510 6.155160 
1411 2 11.306400 0.931277 9.984550 
639 2 11.981000 7.878350 6.515960 
