id type x y z 
711 2 8.824090 12.056000 5.569390 
710 1 8.959510 12.754900 5.617660 
848 2 11.082600 6.260300 3.327550 
847 2 11.082600 6.260300 3.327550 
1023 2 12.443100 1.408940 13.081400 
901 1 9.763070 13.350000 12.254600 
715 2 9.488180 12.805900 8.933270 
822 1 10.653200 3.121720 0.704185 
1060 2 12.764100 5.078250 10.359000 
1013 1 11.527400 -0.365627 9.522550 
33 1 0.183729 0.311528 9.218030 
208 2 3.120230 1.254300 3.067920 
696 2 7.976420 9.756370 8.180560 
207 2 3.120230 1.254300 3.067920 
695 2 7.976420 9.756370 8.180560 
45 1 1.402200 5.627710 2.060680 
694 1 7.791790 10.292300 7.911310 
73 1 0.027121 8.455130 7.025400 
693 1 8.078420 9.220620 8.604710 
509 1 5.227690 12.884300 4.492450 
319 2 3.030020 12.845000 10.649500 
54 1 -0.019552 4.247970 8.021910 
55 2 0.246242 4.582480 8.561400 
56 2 0.246242 4.582480 8.561400 
1068 2 13.475100 8.380730 5.362550 
1033 1 12.676700 2.669540 7.630980 
912 2 12.707000 12.270700 4.608170 
28 2 -0.155057 2.846450 2.662840 
684 2 8.829800 10.638200 11.952500 
683 2 8.829800 10.638200 11.952500 
1059 2 12.764100 5.078250 10.359000 
1063 2 13.103000 9.003000 2.035940 
214 1 3.720580 0.713330 10.430400 
682 1 8.174300 10.891700 11.906400 
47 2 1.529360 5.486290 1.317340 
1021 1 13.102200 1.445590 12.737800 
911 2 12.707000 12.270700 4.608170 
910 1 12.291400 11.822300 4.325590 
482 1 5.298160 10.358700 0.255312 
668 2 8.303630 8.035880 1.730780 
667 2 8.303630 8.035880 1.730780 
48 2 1.529360 5.486290 1.317340 
1016 2 12.079700 -0.240264 9.798160 
1119 2 13.025200 12.452600 10.435200 
1036 2 12.765300 2.827820 7.005340 
1035 2 12.765300 2.827820 7.005340 
622 1 8.853130 3.237040 12.728800 
205 1 3.023740 1.567140 2.426030 
896 2 11.257800 10.545300 7.387300 
895 2 11.257800 10.545300 7.387300 
1024 2 12.443100 1.408940 13.081400 
894 1 11.055100 10.110400 7.794910 
893 1 11.471300 10.976900 6.975160 
213 1 3.746720 1.220210 9.196770 
320 2 3.030020 12.845000 10.649500 
909 1 13.116300 12.715400 4.951420 
701 1 8.437230 11.408100 0.709974 
846 1 11.162800 6.633930 2.798510 
845 1 11.035700 5.762110 3.837570 
225 1 4.900440 3.958750 1.607260 
226 1 5.928380 3.696480 2.317270 
227 2 5.290380 3.839550 1.888910 
228 2 5.290380 3.839550 1.888910 
229 1 6.048630 2.115530 4.859290 
230 1 6.879530 1.415770 4.065200 
231 2 6.418800 1.868250 4.506400 
232 2 6.418800 1.868250 4.506400 
233 1 4.789270 3.800930 8.505920 
234 1 3.552940 3.850430 7.817230 
235 2 4.062840 3.830090 8.076260 
236 2 4.062840 3.830090 8.076260 
237 1 1.275830 3.213330 11.866200 
238 1 1.603040 2.577940 10.652600 
239 2 1.403550 2.893150 11.312800 
240 2 1.403550 2.893150 11.312800 
1064 2 13.103000 9.003000 2.035940 
713 1 9.637480 12.232800 8.459900 
1118 1 12.674000 11.887500 10.021600 
249 1 3.652580 4.123510 4.546700 
250 1 2.336060 4.722280 4.746750 
251 2 2.952460 4.414530 4.665420 
252 2 2.952460 4.414530 4.665420 
257 1 3.514210 4.898430 11.487000 
258 1 4.112010 6.049360 11.417000 
259 2 3.848050 5.433900 11.408800 
260 2 3.848050 5.433900 11.408800 
515 2 6.226450 13.092500 7.778810 
1120 2 13.025200 12.452600 10.435200 
1061 1 13.085200 8.707320 2.668990 
265 1 5.157900 6.493350 2.321310 
266 1 4.963740 7.649370 1.659610 
267 2 5.045360 7.037850 2.043590 
268 2 5.045360 7.037850 2.043590 
269 1 2.964020 7.547550 4.211420 
270 1 1.811710 8.252260 4.544020 
271 2 2.314650 7.938900 4.398930 
272 2 2.314650 7.938900 4.398930 
277 1 0.956524 9.925840 11.285500 
278 1 2.214200 9.527320 10.920200 
279 2 1.676480 9.664120 11.112500 
280 2 1.676480 9.664120 11.112500 
517 1 6.821520 13.130700 10.466500 
833 1 10.875300 0.429857 6.898220 
828 2 9.719550 3.673610 5.448750 
285 1 3.663220 11.600500 2.488530 
286 1 2.943240 10.734400 1.783910 
287 2 3.240120 11.175200 2.138520 
288 2 3.240120 11.175200 2.138520 
289 1 0.702239 11.676000 5.079050 
290 1 1.450410 11.322600 3.942630 
291 2 1.084570 11.568000 4.556190 
292 2 1.084570 11.568000 4.556190 
293 1 1.359000 10.460700 8.428790 
294 1 1.403370 11.383900 7.535480 
295 2 1.377430 10.917600 8.025960 
296 2 1.377430 10.917600 8.025960 
827 2 9.719550 3.673610 5.448750 
826 1 9.261270 3.391080 5.143210 
1067 2 13.475100 8.380730 5.362550 
1034 1 12.923300 2.945710 6.293230 
876 2 11.041700 8.762640 10.310100 
53 1 0.572095 4.860050 9.157560 
875 2 11.041700 8.762640 10.310100 
874 1 10.561300 8.773640 10.513200 
318 1 3.092960 12.143600 10.339200 
873 1 11.757800 8.546450 10.090400 
872 2 8.927160 8.280000 5.328010 
80 2 0.883764 6.322730 11.632500 
871 2 8.927160 8.280000 5.328010 
870 1 9.050860 8.115520 4.730750 
1028 2 12.310900 2.126010 3.033710 
869 1 8.847670 8.503720 6.028070 
868 2 10.061900 10.613700 2.861680 
823 2 10.613200 3.200890 0.104440 
825 1 10.222600 3.898720 5.863860 
516 2 6.226450 13.092500 7.778810 
437 1 5.953710 4.109640 10.638400 
438 1 6.952120 3.397130 10.158100 
