id type x y z 
939 2 11.782500 12.495000 8.951620 
446 1 6.415300 6.698540 1.220400 
1831 2 4.421100 5.135710 4.903620 
1803 2 2.182650 4.351600 0.721492 
201 1 9.764580 1.042220 5.713760 
401 1 7.495320 2.613790 2.428860 
517 1 9.436330 6.388890 12.682700 
486 1 10.317900 11.889200 5.801890 
519 2 10.408400 6.202260 12.923600 
861 1 8.531090 6.801950 8.799300 
313 1 9.006330 12.638100 12.309600 
978 1 13.248500 2.259310 10.242000 
836 2 10.806500 2.846360 1.154660 
381 1 9.605460 1.977850 7.316320 
182 1 9.088690 5.172470 7.344630 
314 1 9.481950 12.647500 10.977300 
62 1 1.313640 9.729350 5.223160 
1830 1 4.253340 4.857660 5.527590 
266 1 3.324800 11.341900 7.895930 
1044 2 11.552000 8.128000 6.961050 
698 1 8.404150 11.840900 7.161740 
18 1 2.021620 2.974880 11.515700 
700 2 7.813890 12.047900 7.291030 
1136 2 4.081010 9.784660 1.102650 
543 2 4.974630 1.102170 2.634210 
1135 2 4.352750 10.013500 0.935431 
265 1 3.894240 10.716700 6.853840 
1281 1 11.900000 9.176170 3.613670 
498 1 4.686260 12.279000 12.387800 
1283 2 11.239300 9.103110 3.326970 
822 1 10.345300 5.174580 4.751090 
309 1 12.093000 12.437200 13.076300 
229 1 5.532530 6.385940 7.860000 
230 1 8.361700 4.422410 6.461280 
231 2 8.704240 4.901650 6.887200 
232 2 8.667750 4.810030 6.881910 
1062 1 4.560460 12.858500 4.400190 
475 2 6.517600 1.739140 5.863480 
322 1 7.577740 9.698470 1.505520 
244 2 9.407330 6.099600 1.415660 
1833 1 4.476680 3.588510 12.141500 
546 1 8.794670 12.355900 2.718880 
1061 1 5.350170 11.475100 4.138690 
389 1 7.866360 1.905510 9.459170 
243 2 9.451890 6.239220 1.065340 
403 2 8.042310 3.621640 3.227990 
610 1 6.541650 8.644830 4.652510 
241 1 9.337370 6.273450 0.582816 
789 1 8.153570 8.823600 5.434780 
497 1 5.944370 11.698200 11.994800 
1998 1 6.153880 2.154380 5.348350 
548 2 8.795460 11.974500 3.361090 
269 1 3.065480 7.753160 7.514010 
270 1 2.510410 7.491530 6.592830 
271 2 2.756760 7.601840 6.962580 
272 2 2.830780 7.741600 6.927310 
324 2 8.439670 9.687640 1.305790 
590 1 3.718400 8.200990 4.581030 
581 1 8.002350 4.189520 2.491210 
584 2 7.733810 3.454660 2.935860 
242 1 9.502130 6.108840 1.888270 
1858 1 3.060930 8.234660 9.910890 
726 1 2.561580 11.952000 2.668570 
473 1 6.756230 1.482620 6.297850 
1450 1 1.819880 3.771880 8.126720 
184 2 2.410830 4.253480 1.238720 
203 2 10.207200 1.625130 6.296310 
1609 1 1.175910 4.067630 0.487072 
20 2 2.858920 3.648530 12.320700 
1042 1 10.785900 7.654870 6.963340 
823 2 10.699600 5.948260 4.578760 
699 2 7.613910 11.926600 7.257980 
552 2 1.286440 12.520800 9.488740 
547 2 8.820950 11.925100 3.424950 
223 2 4.618600 1.242860 8.716650 
315 2 9.085230 12.516000 11.625700 
1041 1 12.228500 8.503460 7.008040 
1064 2 5.014070 12.129200 4.250150 
474 1 1.615010 4.452390 13.109200 
208 2 5.520820 6.010130 8.483720 
520 2 9.986680 6.138200 12.757500 
665 1 0.154659 5.892060 9.991930 
57 1 3.574290 9.682530 10.520100 
1452 2 2.586480 3.799500 8.098680 
1043 2 11.486600 8.289810 6.976330 
312 2 12.510800 12.550900 12.647900 
1983 2 2.130790 4.187380 1.351430 
