id type x y z 
471 2 12.133600 5.110990 6.920730 
1896 2 0.679892 9.536800 11.645500 
1869 1 4.902090 12.176500 13.120000 
1627 2 9.127840 9.416410 11.285500 
1165 1 5.563580 7.322350 4.316920 
1438 1 11.814200 -0.017560 10.621300 
67 2 -0.036572 3.417610 11.417100 
200 2 7.893290 10.828400 6.770720 
504 2 5.594620 12.289200 3.039590 
536 2 9.174010 7.920590 9.336820 
252 2 12.910500 7.497820 8.652830 
1418 1 9.854800 0.768654 12.701300 
1084 2 2.873740 5.964450 0.626677 
246 1 11.196500 1.348010 6.439010 
280 2 1.624290 10.103500 2.061980 
159 2 0.101302 2.563970 7.921660 
1767 2 12.475500 10.883800 3.357420 
604 2 11.730300 2.641710 3.591330 
1338 1 5.483130 0.647837 5.601900 
794 1 6.782600 2.836090 11.398800 
516 2 11.749200 4.117230 9.119070 
785 1 3.736110 8.625650 5.369070 
1998 1 9.242890 9.206250 11.085300 
378 1 -0.066707 5.310800 4.144490 
548 2 0.140353 2.424260 7.218280 
1986 1 3.523480 7.002030 11.001400 
172 2 5.718750 8.887280 9.405560 
1496 2 12.221600 12.641300 4.249410 
658 1 8.811370 7.387860 8.456850 
880 2 3.367240 7.910690 11.225900 
638 1 12.860300 5.024920 7.411640 
350 1 9.228940 5.864550 2.016040 
1401 1 13.042900 6.166440 10.771700 
1493 1 2.442270 5.876700 9.915270 
1983 2 4.955760 12.960100 8.705990 
1967 2 0.956255 5.455040 4.008200 
748 2 12.201600 9.468640 6.151670 
1812 2 10.820200 12.136800 8.642170 
777 1 1.276800 3.961460 3.407730 
1925 1 2.568140 10.459200 1.845430 
1665 1 11.014600 6.123790 11.221600 
1261 1 3.031220 6.163830 7.123560 
439 2 12.237100 1.828330 6.298620 
1828 2 2.333180 6.022810 11.208000 
1508 2 6.719400 12.362600 11.767900 
542 1 4.814880 5.781560 7.963250 
491 2 5.967370 0.442997 4.267320 
1856 2 2.914150 3.042910 7.390400 
186 1 6.129630 7.396000 12.689600 
1545 1 7.056210 11.611200 12.431700 
1600 2 9.207810 7.126660 6.239970 
1434 1 7.595790 6.288370 11.472100 
1701 1 8.391590 12.097900 7.103780 
268 2 3.541960 12.417000 11.899000 
928 2 3.908630 3.049820 10.437600 
1980 2 12.935400 9.659540 12.742600 
1069 1 6.937500 0.264740 3.338280 
1231 2 9.492590 0.167910 12.900500 
1830 1 8.902460 11.026900 1.231970 
426 1 0.342834 10.395100 6.074360 
