id type x y z 
1492 2 11.926800 8.820850 12.624100 
752 2 4.652280 6.340670 11.426300 
954 1 0.145358 7.357230 0.329777 
1491 2 12.025400 7.821380 10.527400 
1741 1 9.393370 7.124350 0.006512 
1717 1 3.827820 5.635500 5.536040 
687 2 9.936910 5.419810 9.113380 
1980 2 8.775700 13.107400 12.123400 
1091 2 4.650320 6.258660 6.450460 
321 1 11.954600 11.842100 6.599070 
480 2 4.885160 8.919300 7.703050 
917 1 1.478220 7.164910 5.584790 
1772 2 4.873580 3.980620 0.410567 
848 2 13.067100 2.502430 8.490470 
298 1 3.493320 3.841880 9.798640 
1066 1 2.703660 11.376600 4.147620 
1542 1 5.101440 8.049070 3.536440 
1203 2 6.518820 12.261600 12.200400 
1296 2 0.609106 11.086900 6.589220 
122 1 7.192050 1.833340 3.045050 
779 2 12.821200 4.382360 10.441700 
839 2 3.336700 1.112330 11.087400 
1439 2 2.539970 3.624900 4.391620 
1750 1 2.701980 12.562600 2.262780 
576 2 6.592350 6.858610 4.793340 
1485 1 2.697000 12.946000 11.393500 
677 1 8.138140 11.743200 4.739780 
638 1 1.160290 11.295500 7.142520 
473 1 10.428200 10.890800 7.351140 
1724 2 8.639300 13.210800 5.585760 
1185 1 8.523560 6.809070 6.394180 
1514 1 12.899500 2.713680 1.475140 
1145 1 4.324880 9.649080 11.533200 
632 2 9.449460 5.746760 10.790200 
1102 1 12.761600 11.299900 0.823873 
1064 2 13.205900 0.963596 6.855430 
1445 1 6.574740 10.743200 11.034800 
1578 1 0.570017 2.818970 7.810010 
1978 1 3.949250 9.800730 2.363750 
1274 1 0.564913 7.707380 9.111200 
1918 1 5.784670 3.363910 5.055770 
145 1 10.857800 6.824200 5.409180 
1378 1 1.060440 11.258100 13.054800 
92 2 1.823050 12.615400 7.933800 
1286 1 12.898900 5.037270 12.548300 
1336 2 5.840260 0.647089 0.828218 
1470 1 0.302415 7.946050 12.569000 
1361 1 5.095610 12.667200 5.422100 
1017 1 0.866221 5.717560 10.604800 
512 2 12.598300 0.082986 12.465600 
1426 1 11.216400 6.312540 11.227500 
1440 2 1.187700 0.060779 3.571880 
1068 2 5.691840 8.699090 11.658300 
1530 1 6.161140 11.295000 0.981699 
371 2 4.712770 5.689430 12.820600 
1347 2 12.250700 1.183370 2.711410 
209 1 5.004690 0.618836 5.210070 
284 2 5.865790 8.287160 2.660230 
541 1 11.258900 11.096000 10.462600 
864 2 7.343910 1.382220 10.656800 
1745 1 11.826800 8.665770 10.134900 
470 1 4.701860 7.141430 4.330900 
1616 2 8.347590 8.871860 6.522560 
990 1 7.129950 0.453449 12.809600 
1479 2 1.247580 2.422270 7.425660 
1921 1 4.020310 6.328480 12.394300 
37 1 8.346740 5.474540 9.841790 
532 2 4.061520 8.086880 3.389240 
