id type x y z 
1796 2 6.972320 0.120664 2.354240 
520 2 3.181120 4.530380 6.303840 
1432 2 1.016580 11.075300 11.441400 
1822 1 1.856150 5.108830 10.881400 
529 1 0.615055 0.868697 10.556900 
350 1 0.359099 11.409000 6.225150 
445 1 11.765200 6.798990 10.307000 
614 1 7.244760 0.980554 13.252300 
32 2 5.120070 11.249700 10.497700 
1183 2 5.940460 7.381640 2.031850 
1139 2 -0.024043 1.529310 10.121600 
1467 2 3.917570 12.700100 8.617330 
1559 2 3.463510 9.117540 3.704120 
1175 2 11.372900 4.892450 4.843510 
1770 1 4.562330 11.198900 7.658090 
61 1 13.242800 5.246400 10.817000 
947 2 10.141400 7.128400 1.264150 
1594 1 5.130740 9.026430 7.916580 
193 1 7.923860 5.780510 1.453500 
1708 2 8.223390 11.852300 5.530090 
99 2 2.349870 8.552070 9.211590 
1528 2 6.765320 2.342030 8.582940 
475 2 3.717990 11.647500 0.766501 
1925 1 8.156540 3.603000 9.110520 
1433 1 2.441910 7.425290 2.506800 
811 2 2.015830 12.401900 3.773250 
1824 2 12.667300 7.164930 5.463160 
1022 1 0.889969 9.168870 2.958460 
617 1 2.466000 3.816420 3.977540 
1159 2 3.167740 8.206350 10.558900 
486 1 1.702030 2.933250 0.965623 
1930 1 7.682940 9.250270 4.428680 
1622 1 9.510510 7.640350 6.062240 
346 1 10.189400 10.345100 12.286900 
698 1 3.497900 2.994150 6.356020 
787 2 3.181980 5.819440 5.873220 
1948 2 0.778287 6.881210 12.577900 
1335 2 11.502200 10.931800 11.222100 
770 1 3.890630 6.901670 11.007200 
1518 1 10.454700 12.951500 11.900000 
715 2 3.105710 6.621090 8.828110 
180 2 9.774590 6.831510 10.085900 
857 1 4.809870 6.934480 3.957570 
1583 2 11.322300 6.335960 0.403983 
1188 2 0.636053 10.457400 6.472170 
326 1 10.529000 5.799340 2.360620 
1935 2 3.407920 8.377660 7.420530 
1378 1 10.890600 9.692530 1.397640 
238 1 11.332300 6.880130 12.483600 
1130 1 1.711090 10.383600 4.036470 
1961 1 2.154740 9.358670 9.188900 
1492 2 8.091070 9.264710 4.586630 
1703 2 12.862000 7.568540 1.914630 
1372 2 7.257900 4.964680 4.388670 
1664 2 11.164800 10.985800 11.004200 
913 1 2.483000 8.086550 7.661110 
772 2 1.001810 0.196891 10.958800 
322 1 4.520240 4.077770 4.190110 
1998 1 13.121000 8.175630 2.377860 
493 1 7.778360 11.340200 5.533350 
635 2 8.500310 5.463720 2.859180 
1979 2 6.780070 4.371610 9.476750 
1780 2 3.022020 8.424350 5.894590 
506 1 3.308840 0.856238 6.651740 
1646 1 12.914500 10.921500 0.450084 
1638 1 10.248000 6.553810 7.178020 
1044 2 6.829140 0.081671 6.912170 
998 1 2.321180 0.781728 11.800700 
133 1 5.630390 5.408690 1.878410 
1642 1 2.172970 10.329200 5.822070 
1402 1 -0.061159 4.640220 6.358240 
1582 1 11.917400 2.550760 10.631900 
1744 2 10.786300 6.377860 3.102950 
1637 1 5.067100 12.319900 5.516120 
1616 2 4.571320 4.985960 4.107970 
1585 1 3.962090 9.081040 4.746990 
732 2 8.993420 3.247630 6.953650 
912 2 3.522710 11.390000 0.396073 
1116 2 11.805100 11.169600 4.584430 
1412 2 9.817210 11.264200 6.015370 
822 1 7.291090 12.215200 2.479100 
1853 1 9.676260 2.370950 8.830300 
712 2 1.319490 11.193600 5.513910 
1154 1 7.125760 6.470530 5.819230 
266 1 0.886100 6.153890 1.648290 
1029 1 8.497240 2.021240 5.595020 
1395 2 6.738640 0.518839 11.980300 
594 1 3.155600 4.969540 5.614230 
458 1 5.180360 9.952730 2.411480 
904 2 7.264860 4.619480 10.784900 
413 1 10.154400 9.781970 6.846560 
926 1 1.849740 8.633910 11.552500 
1020 2 8.696620 1.880080 0.739436 
708 2 8.738040 10.186200 1.232000 
1957 1 4.677880 9.795000 10.758000 
1026 1 3.674300 12.206800 12.318300 
1100 2 11.950600 0.536986 4.319180 
1991 2 0.648546 7.647900 4.143950 
1499 2 10.269700 8.120670 7.890910 
297 1 2.276890 11.560500 10.871900 
1580 2 1.348670 11.470600 12.531900 
68 2 5.560100 7.525660 12.809800 
1941 1 7.370660 0.863866 3.473170 
1600 2 4.886280 10.716800 8.481800 
1570 1 4.371920 11.800800 2.601710 
1981 1 8.369180 12.963500 1.625300 
1629 1 5.240030 8.111140 12.860000 
360 2 9.731180 4.174180 7.660930 
1714 1 11.485400 11.174900 4.661770 
1390 1 7.784500 3.452990 7.060960 
1131 2 5.936100 12.078200 4.864970 
222 1 5.279720 5.805400 9.414390 
1791 2 10.440400 8.857350 3.093000 
983 2 11.165200 0.837026 10.098100 
333 1 13.042700 5.559780 3.733310 
607 2 0.806663 12.115600 1.997560 
879 2 1.381170 11.397500 6.671960 
1302 1 1.477420 0.133596 7.931200 
1366 1 12.767300 10.245800 6.031160 
831 2 1.989870 0.786386 7.569370 
148 2 0.269610 8.050130 4.600690 
503 2 10.242000 3.491610 3.828350 
738 1 7.369050 6.842720 8.167540 
47 2 12.226600 7.030200 5.518030 
1608 2 2.009010 3.828870 5.974040 
1384 2 3.654790 6.680770 10.544200 
1545 1 9.755750 8.685700 9.020780 
527 2 1.661000 1.963680 1.043540 
982 1 4.869420 12.491600 7.078720 
1301 1 1.440860 12.484800 12.185300 
200 2 11.317900 8.789220 8.571390 
440 2 7.368720 13.165600 1.435400 
524 2 4.418710 0.049852 5.782940 
849 1 0.209882 6.825260 4.229640 
1449 1 1.837990 4.226090 6.030880 
686 1 8.302110 4.725910 4.613310 
1828 2 0.430015 7.659530 1.952310 
1313 1 9.894360 5.924590 9.431980 
1053 1 4.026440 2.742080 9.152150 
205 1 8.640920 13.056400 7.132040 
3 2 12.681400 11.335300 7.392700 
1776 2 9.627880 6.794890 6.546870 
1277 1 11.575500 7.935960 4.167770 
1878 1 7.333290 1.249430 1.694500 
102 1 5.411070 7.795870 7.486090 
1468 2 9.088540 2.169270 6.324260 
30 1 11.696200 0.385807 2.557650 
1261 1 0.355300 10.334700 7.651540 
472 2 3.203930 11.215900 4.272610 
226 1 12.138300 2.600300 5.967400 
1363 2 2.665530 4.279680 3.670320 
1989 1 9.457280 10.134800 10.638800 
1038 1 8.452740 5.217690 11.270500 
1272 2 0.746156 6.821770 0.899357 
750 1 10.033600 0.659471 10.424800 
1782 1 6.414830 2.268180 2.902240 
675 2 5.173450 7.519480 10.419400 
858 1 6.319010 5.479170 7.202830 
97 1 11.048800 4.407140 0.563783 
1435 2 9.479940 4.889250 13.220000 
51 2 11.243200 12.657000 12.510200 
1568 2 3.519220 12.078400 1.679550 
1640 2 1.770290 2.068090 1.364810 
1894 1 10.720300 7.580780 0.391470 
245 1 10.042900 11.239300 8.989540 
1745 1 12.829200 4.155600 9.463210 
1563 2 12.375100 1.281780 5.632520 
212 2 2.851960 2.174710 8.878730 
758 1 2.263640 3.710480 9.443560 
562 1 13.146000 4.572640 12.898200 
837 1 10.905900 12.186900 2.183250 
