id type x y z 
1106 1 1.421580 12.304500 3.868900 
1625 1 3.132990 13.060400 9.296670 
1409 1 8.123600 4.125060 2.029810 
675 2 4.733650 13.469700 3.122990 
33 1 5.358250 11.078000 10.334700 
599 2 9.776510 6.386150 2.585800 
1552 2 1.970050 5.016630 11.051900 
287 2 2.076860 9.347920 6.992160 
72 2 6.987110 3.577400 7.093050 
199 2 2.519600 0.019852 11.094800 
1264 2 5.514960 11.619200 2.160990 
42 1 5.496600 2.237620 12.197700 
1134 1 7.583390 2.143520 8.122260 
152 2 6.295160 9.614030 7.404630 
1052 2 7.206530 1.317710 7.624780 
802 1 9.741200 8.439110 8.319330 
213 1 8.246050 2.397030 1.697140 
1609 1 9.121290 5.020620 9.166780 
949 1 12.572000 1.814310 6.772300 
1156 2 -0.058146 4.205090 5.596720 
914 1 7.744850 4.004720 7.974610 
940 2 5.666000 0.828070 12.861500 
867 2 4.614090 0.979289 1.540330 
290 1 2.997340 4.753800 12.239700 
706 1 4.502050 3.184860 7.184700 
1946 1 10.235300 4.675820 12.218800 
2 1 11.629700 3.307110 11.819300 
1138 1 6.499160 0.652487 1.130160 
300 2 6.316280 6.026410 10.516500 
4 2 4.982320 12.597200 5.842060 
703 2 1.706130 12.146400 2.525370 
1277 1 10.711400 4.665040 5.191870 
622 1 8.240390 8.686470 3.902540 
986 1 8.624990 8.400490 0.937241 
276 2 0.914973 5.761200 3.447420 
434 1 12.349100 5.722370 3.309770 
1896 2 5.363380 5.554920 8.872140 
327 2 2.566850 1.167180 5.239380 
1607 2 11.314100 8.179610 11.721800 
1845 1 10.202800 0.606483 5.635540 
804 2 11.317300 3.875510 0.971806 
241 1 5.971660 11.214300 2.048070 
314 1 1.234550 5.973910 2.593150 
1068 2 6.665190 9.810920 1.723940 
733 1 3.914030 2.644770 -0.031113 
1591 2 11.853300 10.933200 1.383250 
1856 2 3.433820 9.566740 6.771670 
1257 1 1.396610 6.384000 12.935400 
594 1 4.142380 9.579320 0.229922 
1090 1 8.823230 5.647890 1.827560 
1278 1 9.257540 2.543800 4.804920 
1166 1 4.643700 6.689450 4.807900 
1719 2 9.559500 4.232800 7.856060 
1893 1 1.200650 10.789600 -0.282453 
1834 1 11.213200 9.737060 12.532000 
1300 2 11.033200 1.284470 2.106590 
1522 1 1.553890 9.680400 9.411180 
517 1 8.632720 7.226250 7.598640 
198 1 2.961430 9.815040 11.869300 
1648 2 1.443570 3.979810 0.481662 
1547 2 12.360800 5.463410 7.844210 
1593 1 11.725000 12.600400 10.750200 
1274 1 10.410000 13.056700 1.022610 
1311 2 1.337230 4.513860 11.333600 
426 1 0.867796 5.782890 0.843527 
1542 1 9.430170 0.385572 12.173800 
1985 1 6.159320 11.914500 4.404330 
90 1 2.987790 1.308210 9.366540 
836 2 12.779900 3.615770 11.395700 
1250 1 3.908190 12.149200 6.062220 
822 1 3.651270 4.238390 7.837120 
1857 1 2.972390 9.996650 9.508550 
783 2 10.621800 6.602030 11.968600 
741 1 6.098670 12.113600 8.019010 
1437 1 0.633377 5.654240 8.038190 
742 1 13.064500 2.386130 4.554380 
145 1 7.667770 10.465500 6.295040 
24 2 10.600300 3.259950 4.400980 
662 1 12.278000 4.361590 11.140100 
1028 2 10.088400 10.485000 7.043650 
676 2 6.283440 13.105100 11.176900 
1385 1 2.083520 4.891340 8.509630 
1804 2 6.037570 12.046500 12.678600 
1541 1 1.897690 2.088610 5.924690 
803 2 4.885680 8.395690 1.740670 
76 2 5.232960 6.046870 2.742960 
247 2 13.607900 12.081200 9.125790 
1746 1 4.079720 1.044570 6.717950 
1356 2 7.970640 12.278900 5.404840 
1973 1 10.429000 4.151290 0.732103 
196 2 3.960250 1.339340 6.898840 
1239 2 5.039890 1.394840 6.514170 
1693 1 12.458700 2.126360 2.027670 
1557 1 6.595700 6.202050 10.589600 
454 1 8.088360 7.340140 11.134000 
1242 1 7.339220 10.882800 10.734300 
558 1 1.908200 1.066870 10.395900 
127 2 2.917630 1.231800 9.475130 
284 2 7.281530 -0.068272 1.634710 
53 1 10.823100 5.083840 8.056620 
554 1 1.818120 12.427700 10.681400 
168 2 11.968900 1.633490 9.437970 
796 2 3.303820 2.133070 6.756790 
789 1 0.796392 8.346180 9.062540 
1199 2 12.765800 6.427210 4.970320 
192 2 7.187310 5.539820 2.124850 
320 2 12.813600 0.453437 3.254270 
1679 2 1.942770 5.018770 4.610010 
1851 2 3.412140 8.498030 4.847670 
188 2 4.541860 1.667940 12.795600 
207 2 5.297450 4.513100 5.089340 
1332 2 -0.178268 0.189457 5.024570 
709 1 3.299490 8.811540 1.761620 
400 2 1.736840 2.240260 10.392800 
301 1 6.120750 0.322276 8.506680 
625 1 11.203100 8.266760 11.288000 
245 1 7.896000 9.249300 -0.546790 
560 2 3.897630 4.547760 4.762200 
807 2 2.847090 9.505070 0.916787 
1324 2 9.961260 0.275764 12.972700 
256 2 0.905546 12.629200 8.202950 
334 1 4.619690 6.702880 11.803000 
1288 2 7.241490 0.623398 7.945160 
118 1 8.920110 11.095100 7.784100 
1749 1 12.417700 10.690400 0.790913 
164 2 11.867300 4.037780 11.909000 
1191 2 12.590000 3.662360 10.587500 
1360 2 8.346080 9.744250 9.193670 
777 1 12.229300 0.729595 1.780580 
1201 1 6.836360 2.063570 7.051770 
1455 2 5.391580 6.373260 11.284500 
1171 2 9.168820 9.069620 7.704640 
755 2 12.306300 11.673000 5.818180 
797 1 2.556590 6.860550 3.825380 
485 1 2.734350 8.585380 6.622660 
640 2 3.192750 5.713400 8.785910 
123 2 5.268960 12.724100 10.856400 
1982 1 4.768340 8.080150 10.835600 
80 2 9.859270 5.647360 8.721680 
1570 1 3.163720 1.686550 12.585700 
716 2 4.152510 0.656518 3.903080 
892 2 8.458930 3.869790 0.277222 
489 1 1.146620 7.877580 4.266100 
1549 1 0.979402 0.599801 1.746130 
289 1 4.758450 6.564270 8.520100 
579 2 11.640800 9.959840 5.554290 
1323 2 1.694250 9.011420 12.392200 
567 2 4.594560 0.279477 11.149500 
1511 2 8.630880 3.349190 10.499500 
1296 2 12.509800 7.238470 0.631022 
827 2 4.458690 5.553110 8.446270 
1057 1 4.569670 1.608680 8.448300 
304 2 5.023020 2.166400 2.741260 
325 1 9.592300 10.436000 8.857140 
847 2 2.605260 4.615680 8.908240 
1869 1 3.615390 1.362740 1.262410 
1917 1 13.172300 11.359400 2.708850 
819 2 5.547660 11.486100 2.131340 
1020 2 -0.019757 1.459080 13.354900 
1885 1 3.105780 12.412400 2.106430 
565 1 12.735900 1.391330 9.175240 
1078 1 8.474910 8.994060 12.372700 
57 1 9.976750 4.230030 2.950160 
275 2 11.973500 3.139740 1.874530 
977 1 4.820000 7.165940 2.354740 
873 1 3.631770 3.508330 1.884280 
626 1 1.821950 1.177740 4.516430 
1247 2 7.978770 11.832800 7.824390 
1554 1 8.973520 11.567500 4.547400 
1643 2 10.631300 11.820200 10.623200 
597 1 11.130300 13.106400 9.159420 
1157 1 13.576700 5.551320 5.585270 
526 1 9.610020 6.463970 3.935990 
264 2 3.565680 1.983530 0.807871 
932 2 3.381810 10.838400 9.634290 
387 2 1.830170 8.804750 11.216000 
459 2 10.482200 6.077220 3.168130 
62 1 6.136990 12.461400 13.309900 
1065 1 10.811900 1.444370 2.333740 
643 2 9.608390 8.866360 12.624600 
1818 1 5.150880 1.059100 4.623800 
1445 1 4.978890 9.814810 8.160880 
678 1 5.222200 2.844710 10.178700 
960 2 12.749000 2.199990 8.507510 
350 1 4.320200 5.115080 11.211600 
1939 2 2.628400 3.255360 7.581650 
616 2 4.082180 0.590402 7.353740 
927 2 5.282790 8.740380 9.715910 
1179 2 11.927800 0.700165 1.914000 
656 2 1.269640 11.753300 4.069330 
135 2 9.593430 7.464810 9.403250 
1480 2 4.156350 12.193200 11.380500 
1791 2 7.547890 9.502160 1.335820 
1320 2 9.915200 7.844720 2.835520 
1895 2 3.258930 10.861200 9.809650 
1427 2 3.263420 12.708400 5.291850 
98 1 1.138250 3.795340 1.228050 
1154 1 7.651310 0.705652 8.384280 
1150 1 11.942500 3.451500 0.358638 
202 1 12.236700 7.076980 0.881607 
628 2 9.266500 4.830860 2.883950 
504 2 3.717140 8.008720 4.356840 
1031 2 12.990500 4.613900 5.863750 
1601 1 8.616930 1.861350 10.191400 
1849 1 10.848500 10.585600 6.709350 
364 2 12.115400 7.036320 5.695590 
433 1 5.665400 2.144990 2.518860 
1471 2 6.112760 1.653370 9.024360 
1272 2 8.960270 8.484390 8.838940 
1855 2 6.239670 12.579900 3.779720 
1163 2 7.002070 7.945770 4.880440 
587 2 9.542640 11.483400 12.341500 
347 2 11.924500 3.036300 11.259700 
1787 2 7.397230 2.206070 3.022430 
1971 2 8.425790 3.270170 7.260980 
657 1 3.945270 4.778080 4.771760 
722 1 6.250970 5.265180 4.136460 
1685 1 10.738000 8.017620 1.798420 
112 2 2.351690 6.262750 2.088110 
1219 2 11.603200 1.398100 6.396970 
